0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,date
0.033647906,-0.042885024,-0.0076976805,7.566565e-05,-0.0075822244,0.009416488,-0.012105129,-0.005873566,0.029776674,-0.034311105,-0.013060876,0.018078104,0.010873801,0.018392637,0.031889234,0.0046991752,-0.024424858,-0.031622536,-0.018545166,-0.008345544,-0.022342352,-0.0028025345,-0.025632039,-0.041984346,-0.008221607,-0.04550443,-0.0097381985,-0.0043199253,0.010293964,0.010954692,2023-01-24
0.030767826,-0.04186774,-0.00505676,0.0016489492,-0.003449299,0.006932572,-0.007887746,-0.005866941,0.027184378,-0.031032896,-0.011863151,0.018338738,0.011048937,0.0152884945,0.030045602,0.007155554,-0.0251593,-0.029086294,-0.01648992,-0.008925144,-0.01967123,-0.002364971,-0.024938636,-0.03818278,-0.008666825,-0.042656247,-0.015238152,-0.002877221,0.011368979,0.010180931,2023-01-25
0.027441846,-0.040794678,-0.0009313631,0.0015493955,-0.002348669,0.0054117967,-0.0014633675,-0.0024198452,0.022369906,-0.027958078,-0.009880955,0.016345596,0.009773188,0.0125209,0.028032847,0.008461169,-0.026246699,-0.024366582,-0.014470903,-0.010653132,-0.018041374,-0.0010482117,-0.022832748,-0.036323976,-0.008318217,-0.040820044,-0.023382826,-0.0014672066,0.0099784965,0.011795502,2023-01-26
0.02104245,-0.039675087,0.0018758794,-0.0032994058,-0.0056080753,0.0051245485,0.0031682798,0.0015475039,0.019075738,-0.02558791,-0.008144944,0.013236009,0.0067262817,0.01005398,0.024732273,0.007966555,-0.02146611,-0.022689873,-0.010621564,-0.0069897207,-0.016409662,0.00091628573,-0.019352391,-0.033027206,-0.006137768,-0.037209596,-0.02759999,0.0016476386,0.0041968245,0.011099919,2023-01-27
0.009895984,-0.038524523,0.0025794646,-0.012352595,-0.009163234,0.004729418,0.004301638,0.004379346,0.018558012,-0.022788547,-0.0071137734,0.010011166,0.0019380637,0.007341308,0.018899614,0.007918188,-0.010071591,-0.026051296,-0.003706183,0.0016507182,-0.013012687,0.0037448066,-0.015657308,-0.025292123,-0.002180213,-0.028475054,-0.027046785,0.0071267774,-0.0052532246,0.0059300386,2023-01-30
0.0054322854,-0.03728424,0.0027565132,-0.014554699,-0.003590094,0.001749113,0.003939408,0.0052259485,0.017771315,-0.018434266,-0.006224939,0.009341489,0.0024739755,0.0055653453,0.015515037,0.013003168,-0.005570631,-0.025942199,0.0006063377,0.0008810391,-0.011560852,0.0044033276,-0.019061629,-0.01665639,-0.0008177014,-0.02002842,-0.030195404,0.009436102,-0.005421095,0.0017364119,2023-01-31
-0.0019904706,-0.034260225,0.008073679,-0.015325655,0.0004692943,-0.0041360175,0.011695366,0.00893085,0.011766719,-0.010921398,-0.0031461513,0.0064466847,0.0013018383,-6.177141e-05,0.010754897,0.018240238,-0.0038202938,-0.019779203,0.0062253973,0.0010420482,-0.008236288,0.00743935,-0.017681364,-0.007175819,-0.0005308623,-0.012732985,-0.044089288,0.013717672,-0.0066931103,0.0007418773,2023-02-01
-0.005351466,-0.03129407,0.012653956,-0.015525631,0.0004829759,-0.006834121,0.020447437,0.012939796,0.0060455767,-0.0069858343,2.6090186e-06,0.0043774387,-0.000100677586,-0.00369875,0.008928392,0.020050416,-0.0046614613,-0.013945798,0.008404787,0.0011224872,-0.0066410694,0.009544985,-0.014455364,-0.0034667354,-0.00015194574,-0.009892656,-0.05440578,0.0155453645,-0.008195949,0.0025039932,2023-02-02
-0.003338041,-0.029978689,0.012563767,-0.016257545,-0.002386997,-0.003208106,0.023903094,0.013694721,0.0058523333,-0.009272669,0.00063331256,0.0056147673,-0.0011025976,-0.0031467385,0.010734526,0.017673844,-0.0055471472,-0.01546719,0.00669402,0.0020906962,-0.0065537663,0.0094606625,-0.011620117,-0.0060329023,0.0011001654,-0.010894993,-0.04999117,0.013815649,-0.0100097535,0.0035454636,2023-02-03
-0.0024608632,-0.027845295,0.01042493,-0.018701108,-0.0071546496,0.000940654,0.021851916,0.013071562,0.009079297,-0.011309993,0.00022657741,0.0058892365,-0.0033199238,-0.0014334163,0.011181152,0.0153220035,-0.0019405528,-0.020395258,0.0058751437,0.004627872,-0.006073345,0.010153752,-0.0089182,-0.006883511,0.00322388,-0.010739953,-0.040465172,0.013554852,-0.01257823,0.0012108638,2023-02-06
-0.010586263,-0.019609258,0.015203374,-0.021429755,-0.009278215,-0.007986806,0.023434954,0.017322417,0.0039880876,8.1682105e-05,0.00476929,-0.0020356735,-0.005336989,-0.0058873007,0.0040699663,0.021361593,0.0072344304,-0.011128179,0.01264358,0.00788337,-0.004130172,0.014671114,-0.0074621364,0.0072803237,0.0036852814,-0.0033353372,-0.055669595,0.021029837,-0.011718943,-0.0041654883,2023-02-07
-0.0098520685,-0.016158942,0.01865213,-0.017154707,-0.007667224,-0.010826761,0.028247945,0.01775412,0.0010152827,0.003672929,0.007287466,-0.0026411589,-0.004716255,-0.008169644,0.0035715858,0.023905652,0.004708591,-0.0064384025,0.012570786,0.005529799,-0.002361341,0.0154984,-0.005862741,0.010028741,0.0023299716,-0.0028834455,-0.06345731,0.021877697,-0.0077052466,-0.0035266555,2023-02-08
-0.006922906,-0.014651757,0.021008527,-0.013671568,-0.0077592814,-0.0097368825,0.033796947,0.018394874,-0.0013952054,0.0032594383,0.009088658,-0.0016533688,-0.004259051,-0.008706477,0.0052425005,0.02324631,0.00028450196,-0.0038682043,0.010405913,0.002869958,-0.0015756177,0.014986618,-0.0034177864,0.0075192717,0.0016488398,-0.00500752,-0.06604786,0.020287411,-0.0057092276,-0.0006513498,2023-02-09
-0.0066252057,-0.012839782,0.022355793,-0.014852756,-0.01142296,-0.007002505,0.03698814,0.020175405,-0.0024828778,0.0026063083,0.010163511,-0.002491989,-0.0056918035,-0.008640827,0.005456888,0.021274706,0.0010432363,-0.0036661532,0.0099661425,0.0036155612,-0.0009512227,0.0154440245,-0.00011874023,0.006153472,0.0027200398,-0.0059286347,-0.06438583,0.019969435,-0.0077721253,5.1772397e-05,2023-02-10
-0.006802811,-0.010421385,0.021730224,-0.01792259,-0.015387253,-0.0044440655,0.03538206,0.022089459,-0.0011764714,0.0025970887,0.00990473,-0.0047355434,-0.0078263,-0.007363941,0.004734736,0.02099681,0.0043673846,-0.005968005,0.010565813,0.004110195,-0.001054092,0.01744368,0.0012490223,0.0068550585,0.004594675,-0.004722369,-0.059661273,0.020598283,-0.011032708,-0.0010952355,2023-02-13
